OBJECTID	tract	SHAPE_Length	SHAPE_Area	density	Tract_1	Population
1	6037101110	0.047074	0.000112	40090872	6037101110	4500
2	6037101120	0.214096	0.001256	2609768	6037101120	3280
3	6037101210	0.037308	0.000064	94499232	6037101210	6066
4	6037101220	0.038782	0.000068	44517956	6037101220	3028
5	6037101300	0.086537	0.000255	15579628	6037101300	3974
6	6037101400	0.143535	0.000774	4857624	6037101400	3760
7	6037102101	0.243402	0.001733	1953427.625	6037102101	3387
8	6037102102	0.087148	0.00037	18178590	6037102102	6739
9	6037103101	0.119431	0.000416	6264943	6037103101	2610
10	6037103102	0.051686	0.000122	36511984	6037103102	4462
11	6037103200	0.16949	0.000707	7749446.5	6037103200	5484
12	6037103300	0.154241	0.000915	4085347.25	6037103300	3739
13	6037103400	0.107044	0.000373	16622598	6037103400	6209
14	6037104103	0.040422	0.000087	43702736	6037104103	3840
15	6037119900	0.05179	0.000137	44247788	6037119900	6065
16	6037120010	0.031151	0.000056	60170376	6037120010	3384
17	6037120020	0.050004	0.000052	81497160	6037120020	4257
18	6037120030	0.023611	0.000033	84080192	6037120030	2852
19	6037120101	0.040649	0.000092	81597920	6037120101	7527
20	6037120102	0.031794	0.000058	186243104	6037120102	10941
21	6037120300	0.055663	0.000169	29467398	6037120300	4982
22	6037120400	0.048131	0.000113	48930292	6037120400	5575
23	6037121010	0.057923	0.000199	22770168	6037121010	4535
24	6037121020	0.040836	0.000083	45342020	6037121020	3795
25	6037121100	0.144083	0.000859	5020345	6037121100	4315
26	6037121210	0.063679	0.000216	22447354	6037121210	4853
27	6037121220	0.06824	0.000134	30492294	6037121220	4110
28	6071940500	0.209372	0.002377	8831.895507	6071940500	21
29	6071010022	0.098549	0.000487	6277048.5	6071010022	3063
30	6071010023	0.122038	0.00062	8274534	6071010023	5133
31	6071010024	0.530556	0.009729	432929.1875	6071010024	4212
32	6071010300	6.632915	2.048745	6646.505371	6071010300	13617
33	6071010402	2.60362	0.23675	59514.22266	6071010402	14090
34	6071010403	0.578525	0.01616	475548.5	6071010403	7685
35	6071010405	2.633197	0.198083	40089.19141	6071010405	7941
36	6071010409	3.564251	0.348822	8161.749023	6071010409	2847
37	6071010410	0.404147	0.005598	428667.25	6071010410	2400
38	6071010411	0.434219	0.005276	1065898	6071010411	5624
39	6071010412	0.224332	0.0027	2108124.25	6071010412	5692
40	6071010413	0.366354	0.005644	949889.6875	6071010413	5362
41	6071010414	0.411528	0.004614	1595731.875	6071010414	7363
42	6071010415	0.186312	0.001908	2434838.75	6071010415	4647
43	6071010416	1.474603	0.04848	58105.44922	6071010416	2817
44	6071010500	4.598348	0.70468	1006.12976	6071010500	709
45	6071010600	0.579791	0.007131	179347.2188	6071010600	1279
46	6071010700	0.532416	0.013726	265260.625	6071010700	3641
47	6071010801	0.226783	0.001271	4930090	6071010801	6270
48	6071010802	1.019557	0.021425	237561.8594	6071010802	5090
49	6071010900	0.60442	0.01004	910521.4375	6071010900	9142
50	6071011000	0.503453	0.008417	478791.0313	6071011000	4030
51	6071011100	1.401032	0.028254	213738.875	6071011100	6039
52	6071011201	0.215342	0.001022	2814213.5	6071011201	2878
53	6071011202	0.267924	0.000639	4081841.25	6071011202	2611
54	6071011300	1.168918	0.025341	57929.22656	6071011300	1468
55	6071011400	0.892091	0.016356	624397.375	6071011400	10213
56	6071011500	1.533015	0.065686	25210.76367	6071011500	1656
57	6071011600	3.306801	0.350636	17542.4043	6071011600	6151
58	6071011700	1.126732	0.041475	35033.09766	6071011700	1453
59	6071011800	0.680912	0.015055	424639.9375	6071011800	6393
60	6071011900	1.115579	0.035514	102604.8906	6071011900	3644
61	6071012000	0.316867	0.00268	4361633	6071012000	11690
62	6071012100	2.047527	0.152504	73709.14844	6071012100	11241
63	6071940100	0.643407	0.01131	135627.4063	6071940100	1534
64	6037104701	0.034172	0.000054	76213600	6037104701	4168
65	6037104702	0.083921	0.000338	18479422	6037104702	6262
66	6037104810	0.043233	0.00011	46321456	6037104810	5101
67	6037104820	0.041437	0.000098	54808648	6037104820	5389
68	6037106010	0.074019	0.000257	16086415	6037106010	4139
69	6037106020	0.073145	0.000208	27832748	6037106020	5817
70	6037106111	0.104746	0.000398	9719757	6037106111	3869
71	6037106112	0.14716	0.000319	14890533	6037106112	4753
72	6037106113	0.058661	0.000131	23428348	6037106113	3084
73	6037106114	0.052254	0.000104	49295932	6037106114	5136
74	6037106402	0.081591	0.000305	22340148	6037106402	6817
75	6037106403	0.043546	0.000107	33566572	6037106403	3619
76	6037106404	0.025779	0.000035	136249456	6037106404	4833
77	6037106510	0.113035	0.000559	6529872	6037106510	3651
78	6037106520	0.06015	0.000214	26709812	6037106520	5717
79	6037106602	0.127119	0.000939	5890158	6037106602	5536
80	6037106603	0.1992	0.001495	2040697.25	6037106603	3051
81	6037106604	0.080325	0.000277	17510382	6037106604	4861
82	6037106605	0.061775	0.00018	32276174	6037106605	5818
83	6037106606	0.049774	0.000093	3372724.25	6037106606	317
84	6037106641	0.060396	0.000112	20726704	6037106641	2335
85	6037106642	0.056211	0.000141	20380552	6037106642	2881
86	6037204810	0.035242	0.000074	60126428	6037204810	4451
87	6037204820	0.025466	0.00003	72733440	6037204820	2187
88	6037204910	0.029077	0.000051	63066236	6037204910	3223
89	6037204920	0.038278	0.000088	29697300	6037204920	2637
90	6037205110	0.028758	0.000028	141518480	6037205110	4098
91	6037205120	0.060521	0.000142	27288882	6037205120	3880
92	6037206010	0.055254	0.000157	20737852	6037206010	3276
93	6037206020	0.059169	0.000166	65140324	6037206020	10852
94	6037206030	0.047172	0.000087	10955472	6037206030	955
95	6037206040	0.049094	0.000103	33226756	6037206040	3445
96	6037206050	0.1058	0.000538	4618224.5	6037206050	2488
97	6037206200	0.03448	0.000057	60972188	6037206200	3477
98	6037206300	0.039272	0.000059	83984864	6037206300	4995
99	6037207100	0.043178	0.000098	58112668	6037207100	5753
100	6037207300	0.037219	0.000068	54884000	6037207300	3739
101	6037207400	0.045627	0.000077	15911738	6037207400	1237
102	6037207500	0.031914	0.00006	67232736	6037207500	4098
103	6037207710	0.053388	0.000109	11272489	6037207710	1229
104	6037207900	0.039677	0.000088	22599396	6037207900	1993
105	6037208000	0.03236	0.000063	66557120	6037208000	4253
106	6037208300	0.039839	0.00007	98386184	6037208300	6893
107	6037208400	0.02799	0.000043	137958176	6037208400	5958
108	6037208500	0.02907	0.00005	127772248	6037208500	6418
109	6037208610	0.024368	0.000034	127055456	6037208610	4354
110	6037208620	0.024309	0.00003	153327936	6037208620	4734
111	6037208710	0.016712	0.000016	278065856	6037208710	4451
112	6037208720	0.020109	0.000015	225675344	6037208720	3609
113	6037208800	0.028028	0.000048	132819904	6037208800	6450
114	6037208902	0.017555	0.000018	127456072	6037208902	2344
115	6037208903	0.020983	0.000015	263418368	6037208903	4125
116	6037208904	0.013308	0.00001	355467392	6037208904	3709
117	6037209101	0.020193	0.000018	359182112	6037209101	6800
118	6037209102	0.025239	0.00003	154540048	6037209102	4677
119	6037209200	0.026726	0.00004	36470536	6037209200	1467
120	6037209300	0.025147	0.00003	101745760	6037209300	3100
121	6073002706	0.0936	0.000355	22788742	6073002706	8096
122	6073002707	0.025099	0.000036	181713344	6073002707	6618
123	6073002708	0.031999	0.000061	116188216	6073002708	7093
124	6073002709	0.038335	0.000062	67767104	6073002709	4212
125	6073002710	0.045431	0.000063	66176288	6073002710	4174
126	6073002803	0.05232	0.00011	49478628	6073002803	5448
127	6073002804	0.046758	0.000139	32126618	6073002804	4477
128	6073002902	0.06245	0.000154	33870980	6073002902	5219
129	6073002903	0.047594	0.000131	28236142	6073002903	3711
130	6073002904	0.058937	0.000178	37572272	6073002904	6704
131	6073002905	0.056982	0.000106	35466280	6073002905	3794
132	6073003001	0.066262	0.000224	17681000	6073003001	3967
133	6073003003	0.101237	0.000312	15494299	6073003003	4835
134	6073003004	0.058787	0.000119	40320116	6073003004	4813
135	6073003101	0.042439	0.0001	36818972	6073003101	3718
136	6073003103	0.066285	0.000197	31181116	6073003103	6159
137	6073003105	0.046407	0.000116	35824884	6073003105	4167
138	6073003107	0.069828	0.000151	38623608	6073003107	5852
139	6073003108	0.048917	0.000104	35288116	6073003108	3697
140	6073003109	0.047643	0.000103	35819324	6073003109	3697
141	6073003111	0.082481	0.000141	43866756	6073003111	6186
142	6073003112	0.051652	0.000145	30830010	6073003112	4484
143	6073003113	0.063369	0.000146	36114288	6073003113	5302
144	6073003114	0.047983	0.000109	32696264	6073003114	3566
145	6073003115	0.065099	0.000147	46618256	6073003115	6865
146	6073003201	0.065024	0.000162	33557272	6073003201	5457
147	6073003202	0.058272	0.000124	36490348	6073003202	4547
148	6073003204	0.077971	0.000331	9564705	6073003204	3168
149	6073003207	0.120464	0.000524	10838889	6073003207	5689
150	6073003208	0.052226	0.000131	55093876	6073003208	7218
151	6073003209	0.055649	0.000134	40042752	6073003209	5376
152	6073003211	0.048278	0.000078	39798700	6073003211	3108
153	6073003212	0.057642	0.000131	31089050	6073003212	4079
154	6073003213	0.041601	0.000107	42124896	6073003213	4513
155	6073003214	0.060523	0.000128	36124196	6073003214	4644
156	6111007503	0.399431	0.005109	1106855.375	6111007503	5656
157	6111007604	0.677861	0.010309	860789.625	6111007604	8874
158	6111007903	0.07444	0.000286	9594923	6111007903	2747
159	6111008302	0.058651	0.000184	29651264	6111008302	5464
160	6111008303	0.058795	0.0001	32752402	6111008303	3276
161	6111008304	0.1114	0.00035	13837818	6111008304	4857
162	6111008305	0.201776	0.001933	1275940.25	6111008305	2467
163	6111008306	0.052664	0.000137	27620946	6111008306	3799
164	6111008402	0.263099	0.003179	1414822.875	6111008402	4498
165	6111008500	0.474142	0.004744	1515587.875	6111008500	7190
166	6065043404	0.046495	0.000116	20526912	6065043404	2401
167	6065043405	0.067012	0.000168	22985912	6065043405	3870
168	6065043503	0.077858	0.000268	16261606	6065043503	4361
169	6065043504	0.156242	0.001277	2984507	6065043504	3813
170	6065043505	0.046896	0.000129	21761876	6065043505	2810
171	6065043506	0.110808	0.000477	5952120.5	6065043506	2844
172	6065043507	0.094294	0.000472	10704484	6065043507	5056
173	6065043508	0.159672	0.000646	7815409.5	6065043508	5050
174	6065043509	0.128119	0.000829	5007879	6065043509	4153
175	6065043510	0.555329	0.007291	737612.0625	6065043510	5378
176	6037139501	0.032555	0.000063	124862528	6037139501	7987
177	6037139502	0.054021	0.000104	27668416	6037139502	2887
178	6037139600	0.062725	0.000243	18636812	6037139600	4547
179	6037181000	0.118964	0.000403	15183290	6037181000	6134
180	6037181300	0.067565	0.000144	26094926	6037181300	3771
181	6037181400	0.045797	0.000085	51781708	6037181400	4439
182	6037181500	0.05378	0.000105	36794744	6037181500	3891
183	6037181600	0.056208	0.000154	36673180	6037181600	5662
184	6037183101	0.050877	0.000095	41874836	6037183101	3998
185	6037183102	0.054222	0.000132	46175080	6037183102	6132
186	6037183210	0.058333	0.000121	46797436	6037183210	5663
187	6037183220	0.040463	0.000052	83232224	6037183220	4363
188	6037183300	0.037466	0.000085	57258112	6037183300	4897
189	6037183400	0.040846	0.000073	56122172	6037183400	4127
190	6037183510	0.032402	0.00005	57878456	6037183510	2900
